,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
0,86350566,612900,chalet,334.0,0,4,3,"Calle Gonzalo Jiménez de Quesada, 1",Boadilla del Monte,Sector B,40.4136,-3.9162,18029,newdevelopment,1,0,1835,1,1,nan,nan,0,,0
1,88820218,1250000,chalet,396.0,0,5,4,barrio Monteclaro,Pozuelo de Alarcón,Urbanizaciones,40.4415,-3.8361,11572,good,0,0,3157,0,0,Monteclaro,nan,0,,0
2,88536347,289000,flat,44.0,0,1,1,"Calle de Pelayo, 26",Madrid,Centro,40.4228,-3.6984,789,good,0,0,6568,0,0,Chueca-Justicia,3,0,,0
3,88744592,2900000,chalet,800.0,0,8,7,La Moraleja,La Moraleja,La Moraleja,40.5121,-3.6235,12572,good,0,0,3625,1,1,nan,nan,0,,0
4,87535127,430000,flat,93.0,1,1,2,"Paseo del Prado, 14",Madrid,Centro,40.4142,-3.6944,795,good,0,0,4624,0,0,Huertas-Cortes,4,1,,0
5,88690784,1150000,flat,285.0,1,4,4,Calle de la Dalia,La Moraleja,El Soto de la Moraleja,40.5232,-3.6383,13057,good,0,0,4035,1,1,nan,1,1,,0
6,86491721,1950000,chalet,420.0,0,5,6,Calle de Agatha Christie,La Moraleja,Encinar de los Reyes,40.5025,-3.6335,11212,good,0,0,4643,1,1,nan,nan,0,,0
7,88800926,1440000,flat,163.0,1,4,2,Calle de Ayala,Madrid,Barrio de Salamanca,40.4291,-3.6754,2726,good,0,0,8834,1,1,Goya,6,1,,0
8,87328336,920000,chalet,478.0,0,6,5,ISLA DE FUERTEVENTURA,Boadilla del Monte,Valdepastores - Las Encinas,40.4254,-3.893,16090,good,0,0,1925,1,1,nan,nan,0,,0
9,83784292,1360000,chalet,600.0,0,5,5,"Paseo del Embajador, 45",Ciudalcampo,nan,40.6155,-3.6091,23494,good,0,0,2267,1,1,nan,nan,0,,0
10,87865805,1620000,chalet,710.0,0,4,5,"Mistral, 2",Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,40.4089,-3.8065,8785,good,0,0,2282,1,1,La Finca,nan,0,,0
11,88480497,235000,flat,79.0,1,3,1,Calle San Lamberto,Madrid,Ciudad Lineal,40.4194,-3.6517,4376,good,0,0,2975,1,1,Ventas,en,1,,0
12,87093008,630000,flat,138.0,1,4,2,Calle Arcipreste de Hita,Madrid,Chamberí,40.4338,-3.7159,2180,renew,0,0,4565,0,0,Gaztambide,5,1,,0
13,87517199,1190000,chalet,396.0,0,7,6,Ronda DE LAS SIRENAS,Majadahonda,Zona Monte el Pilar,40.4567,-3.8608,14057,good,0,0,3005,1,1,nan,nan,0,,0
14,39079866,1330000,chalet,380.0,0,5,4,Calle de Marbella,Madrid,Fuencarral,40.4924,-3.7041,8421,good,0,0,3500,1,1,Mirasierra,nan,0,,0
15,1035394,1798000,chalet,350.0,0,6,5,Calle del camino de hoyarrasa,La Moraleja,La Moraleja,40.5306,-3.6097,14928,good,0,0,5137,0,0,nan,nan,0,,0
16,84728960,1380000,flat,340.0,1,5,4,Calle de la Kerria,La Moraleja,El Soto de la Moraleja,40.5184,-3.642,12435,good,0,0,4059,1,1,nan,1,1,,0
17,87855301,2680000,chalet,756.0,0,6,6,"prado del rey, 4",Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,40.4146,-3.7987,8080,good,0,0,3545,1,1,La Finca,nan,0,,0
18,87283949,1675000,penthouse,800.0,1,5,8,Paseo del hontanar,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,40.4121,-3.802,8374,good,0,0,2094,1,1,La Finca,1,1,,0
19,87924032,865000,flat,169.0,1,4,3,Calle Fernando Católico,Madrid,Chamberí,40.4347,-3.7071,2029,good,0,0,5118,0,0,Arapiles,1,1,,0
20,87457102,950000,flat,148.0,1,3,3,Calle de Covarrubias,Madrid,Chamberí,40.4309,-3.6968,1666,good,0,0,6419,0,0,Trafalgar,3,1,,0
21,85874813,1395000,chalet,467.0,0,6,5,Calle Cambrils,Madrid,Fuencarral,40.4873,-3.7117,7887,good,0,0,2987,1,1,Mirasierra,nan,0,,0
